pais,quantidade_casos
Canada,47.391304
Solomon Islands,0.625
China,0.43239227
Netherlands,0.19735259
Switzerland,0.14214495
Luxembourg,0.11480098
Liechtenstein,0.085299455
Jordan,0.077465534
Lithuania,0.05324766
Spain,0.046402987
Germany,0.046389613
Georgia,0.04547352
Hungary,0.045215216
Bulgaria,0.04488709
Republic of Kosovo,0.04402939
Cyprus,0.04317335
Poland,0.041005313
Austria,0.03763162
Eritrea,0.03671706
Grenada,0.035714287
Malta,0.03526367
Norway,0.034116793
Slovakia,0.031411603
Italy,0.03137164
Greece,0.02812187
Czech Republic,0.02708082
Montenegro,0.026504222
Malaysia,0.02565759
Sri Lanka,0.024864376
Monaco,0.024590164
Croatia,0.022623556
Myanmar,0.022507256
Latvia,0.021512385
Uganda,0.017892176
Angola,0.017489806
Portugal,0.017361665
Macedonia, Republic of,0.017295597
Ukraine,0.017160116
Kyrgyzstan,0.017001256
Nepal,0.016898373
Serbia,0.016569221
Romania,0.016382676
Slovenia,0.015624561
Albania,0.015140081
Bosnia and Herzegovina,0.014833511
Belgium,0.014369028
Libya,0.013893142
Jamaica,0.013799146
Iran, Islamic Republic of,0.0133587755
Palestinian Territory,0.013226045
Belize,0.013139502
Lebanon,0.013072371
Andorra,0.013056994
Kenya,0.012957031
Tunisia,0.012942812
Armenia,0.012942528
Estonia,0.01223671
Ireland,0.012064127
Costa Rica,0.011693992
Morocco,0.011350565
Mauritius,0.011210762
Russian Federation,0.011089787
Mozambique,0.010933169
Azerbaijan,0.010559138
Viet Nam,0.010169491
Belarus,0.009461185
Syrian Arab Republic (Syria),0.009328036
United Arab Emirates,0.009215351
Colombia,0.009170874
Taiwan, Republic of China,0.008960574
Iceland,0.008384458
Argentina,0.008178722
Iraq,0.007180909
Guyana,0.0071292776
Liberia,0.007012623
Burkina Faso,0.0068
Finland,0.006690811
Paraguay,0.0066686543
Indonesia,0.0063423
Turkey,0.006098449
Kuwait,0.005998388
Philippines,0.0059695183
Bhutan,0.0056497175
Algeria,0.005182592
Uruguay,0.005080978
Cuba,0.0050468636
Japan,0.0047869887
India,0.0046553095
Panama,0.004310088
United Kingdom,0.0042613638
Bangladesh,0.004241885
Barbados,0.004219409
Venezuela (Bolivarian Republic),0.004115895
Lesotho,0.004096262
Mexico,0.0040488834
Kazakhstan,0.0039783805
Cape Verde,0.0038426763
Zambia,0.0038228156
Tajikistan,0.0037995295
Ethiopia,0.0037170101
Oman,0.0036117304
Pakistan,0.0034826153
Sudan,0.0034011144
Afghanistan,0.0031806463
Bahamas,0.0031277926
Maldives,0.0030766602
Togo,0.0029698769
Mongolia,0.0028653296
Korea (South),0.0028056263
Thailand,0.0026406127
Bahrain,0.0025633827
New Zealand,0.0025471218
Moldova,0.0025462902
Chile,0.0024928497
Mali,0.0022440392
Israel,0.0022003981
Ecuador,0.002175018
Dominican Republic,0.0020340527
Honduras,0.0019651367
Congo (Kinshasa),0.001934406
Namibia,0.0018478596
Djibouti,0.0017975912
Zimbabwe,0.0017912587
Côte d'Ivoire,0.0017860591
Gabon,0.0017841213
Egypt,0.0017542882
Rwanda,0.0017489312
Papua New Guinea,0.0016977929
Ghana,0.0015792536
Brazil,0.0015328979
Qatar,0.001484328
Guinea,0.0014760147
Uzbekistan,0.0014592889
Nigeria,0.0011435106
Saudi Arabia,0.0010959109
South Africa,0.0010621569
Niger,8.190008E-4
Swaziland,6.751055E-4
Chad,6.675568E-4
Senegal,4.478567E-4
Suriname,3.8387717E-4
Bolivia,2.3971855E-4
Equatorial Guinea,1.9654087E-4
Malawi,1.6857721E-4
Singapore,1.7235732E-5
Gambia,0.0
Saint Kitts and Nevis,0.0
Botswana,0.0
San Marino,0.0
Marshall Islands,0.0
Saint Vincent and Grenadines,0.0
Tanzania, United Republic of,0.0
Sweden,0.0
Madagascar,0.0
Seychelles,0.0
Nicaragua,0.0
Western Sahara,0.0
Guinea-Bissau,0.0
Mauritania,0.0
Cameroon,0.0
Cambodia,0.0
South Sudan,0.0
Benin,0.0
Fiji,0.0
Dominica,0.0
Guatemala,0.0
Somalia,0.0
Yemen,0.0
Burundi,0.0
Sao Tome and Principe,0.0
Congo (Brazzaville),0.0
Lao PDR,0.0
Comoros,0.0
Brunei Darussalam,0.0
Holy See (Vatican City State),0.0
Timor-Leste,0.0
Central African Republic,0.0
Peru,0.0
Trinidad and Tobago,0.0
Denmark,0.0
Sierra Leone,0.0
Haiti,0.0
El Salvador,0.0
Saint Lucia,0.0
Antigua and Barbuda,0.0
Australia,-0.34300342
France,-0.8533569
Macao, SAR China,-1.0
