pais,quantidade_casos
China,0.34984985
Switzerland,0.23312883
Grenada,0.125
Myanmar,0.11012314
Czech Republic,0.083789654
Sri Lanka,0.07013252
Georgia,0.06755895
Croatia,0.06544136
Luxembourg,0.063088976
Poland,0.053330604
Angola,0.05121951
Lao PDR,0.045454547
Malaysia,0.04050405
Slovenia,0.04004693
Eritrea,0.033980582
Austria,0.03396504
Trinidad and Tobago,0.026034012
Malta,0.025898274
Monaco,0.025547445
Bulgaria,0.024695568
Germany,0.024629688
Nepal,0.023360673
Liechtenstein,0.023054754
Lebanon,0.022865001
Uruguay,0.021914648
Costa Rica,0.02113341
Libya,0.02105821
Andorra,0.021007195
Hungary,0.01982269
Syrian Arab Republic (Syria),0.019792182
Portugal,0.018625185
Ethiopia,0.017829081
Montenegro,0.016882386
Slovakia,0.016721362
Bahamas,0.016056083
Iceland,0.015704153
Jordan,0.015245478
Kyrgyzstan,0.015165156
Morocco,0.015126443
Namibia,0.014767168
Mauritius,0.014742015
Saint Vincent and Grenadines,0.014285714
Ukraine,0.014154723
Paraguay,0.013893049
Burkina Faso,0.013777778
Lesotho,0.013333334
Bosnia and Herzegovina,0.013229765
Argentina,0.012889266
Italy,0.012439291
Cape Verde,0.012231653
Republic of Kosovo,0.011795969
United Arab Emirates,0.011616146
Armenia,0.011446075
Mexico,0.011239441
Albania,0.010759382
Indonesia,0.010598289
Honduras,0.010543908
Belize,0.010421387
Moldova,0.009997869
Iran, Islamic Republic of,0.009361176
Gabon,0.009312485
Nigeria,0.009151217
Palestinian Territory,0.008466423
Russian Federation,0.008453832
Panama,0.008339753
Colombia,0.008173417
Romania,0.007876119
India,0.007730227
Iraq,0.007435784
Macedonia, Republic of,0.007302039
Azerbaijan,0.007292162
Kuwait,0.007043332
Belgium,0.0069716102
Guyana,0.006785935
Senegal,0.0067522395
Kenya,0.006667742
Yemen,0.0065885796
Peru,0.0065620695
Bangladesh,0.006016445
New Zealand,0.0059235324
Tajikistan,0.0052513857
Korea (South),0.0047140806
Oman,0.004683065
Turkey,0.004673012
Cuba,0.004611226
Japan,0.0045853658
Barbados,0.004524887
Algeria,0.004505508
Venezuela (Bolivarian Republic),0.004486209
Jamaica,0.0043318174
Bahrain,0.0040634456
Mali,0.0039883973
Chad,0.003776435
Brazil,0.0034047887
South Africa,0.0033113088
Dominican Republic,0.0032766955
Suriname,0.0031583102
Liberia,0.0031274434
Bhutan,0.003076923
Maldives,0.0030322522
Togo,0.0029832935
Chile,0.0027838892
Thailand,0.0027816412
Belarus,0.0024315272
Israel,0.002299238
Côte d'Ivoire,0.0022096734
Djibouti,0.002202643
Estonia,0.0020920502
Taiwan, Republic of China,0.0019305019
Kazakhstan,0.0018964643
Viet Nam,0.0018814675
Bolivia,0.001850726
Lithuania,0.001638337
Qatar,0.0016334833
Zimbabwe,0.0015138135
Pakistan,0.00136501
Saudi Arabia,0.0013044676
Guinea,0.0010388138
Egypt,9.7433577E-4
Ghana,9.5308694E-4
Swaziland,8.846426E-4
Afghanistan,4.6611897E-4
Rwanda,2.0321073E-4
Philippines,2.0071109E-4
Gambia,0.0
Saint Kitts and Nevis,0.0
Botswana,0.0
San Marino,0.0
Malawi,0.0
Tanzania, United Republic of,0.0
Madagascar,0.0
Seychelles,0.0
Nicaragua,0.0
Solomon Islands,0.0
Equatorial Guinea,0.0
Western Sahara,0.0
Ecuador,0.0
Guinea-Bissau,0.0
Mauritania,0.0
Spain,0.0
Mozambique,0.0
Cameroon,0.0
Cambodia,0.0
South Sudan,0.0
Greece,0.0
Mongolia,0.0
Cyprus,0.0
Finland,0.0
Sudan,0.0
Benin,0.0
Fiji,0.0
Singapore,0.0
Tunisia,0.0
Norway,0.0
Uganda,0.0
Dominica,0.0
Niger,0.0
Guatemala,0.0
Somalia,0.0
Burundi,0.0
Uzbekistan,0.0
Congo (Kinshasa),0.0
Sao Tome and Principe,0.0
Congo (Brazzaville),0.0
Zambia,0.0
Comoros,0.0
Brunei Darussalam,0.0
Holy See (Vatican City State),0.0
Timor-Leste,0.0
Central African Republic,0.0
Denmark,0.0
Sierra Leone,0.0
Latvia,0.0
Haiti,0.0
El Salvador,0.0
Saint Lucia,0.0
Papua New Guinea,0.0
Antigua and Barbuda,0.0
Ireland,0.0
Netherlands,-0.07304117
United Kingdom,-0.08708273
Australia,-0.36543423
France,-0.86270493
Marshall Islands,-1.0
Sweden,-1.0
Macao, SAR China,-1.0
Serbia,-1.0
Canada,-1.0
