pais,quantidade_casos
Algeria,1600.2445
China,7706.189
Bhutan,9562.005
Kuwait,10451.057
Egypt,30435.72
Pakistan,48897.934
Libya,51890.98
Jordan,59762.688
Bahrain,74723.01
Israel,87367.055
Qatar,114112.01
Bahamas,139399.97
Morocco,142739.02
Palestinian Territory,156489.36
Iran, Islamic Republic of,201533.56
Western Sahara,214712.14
Saudi Arabia,250040.0
Taiwan, Republic of China,271600.1
Bangladesh,273921.5
Mexico,279768.25
Iraq,288057.4
United Arab Emirates,304998.1
Lebanon,368103.22
Tunisia,373516.53
Afghanistan,380338.53
Macao, SAR China,473113.75
Syrian Arab Republic (Syria),507341.62
Myanmar,518482.88
Cyprus,560924.56
Cuba,582770.8
Oman,584468.7
Mauritania,672507.44
Korea (South),698264.9
Malta,703847.0
United Kingdom,741631.0
India,751231.1
Japan,753159.0
Lao PDR,898426.2
Haiti,1095686.4
Dominican Republic,1149844.4
Jamaica,1304880.0
Netherlands,1322711.2
Tajikistan,1353561.2
France,1358737.1
Turkey,1379540.4
Greece,1408403.1
Niger,1434900.9
Mali,1445569.5
Portugal,1496784.5
Saint Kitts and Nevis,1502226.4
Belize,1548889.5
Antigua and Barbuda,1585054.8
Armenia,1684496.8
Azerbaijan,1704748.0
Spain,1798866.8
Cape Verde,1895514.1
Thailand,1935499.6
Guatemala,1963426.4
Albania,2010416.1
Kyrgyzstan,2026202.4
Yemen,2035703.2
Chad,2067535.6
Dominica,2080337.6
Uzbekistan,2083545.0
Honduras,2148196.5
Eritrea,2154716.0
Macedonia, Republic of,2157980.2
Italy,2243697.0
Holy See (Vatican City State),2253695.8
Senegal,2382258.8
Georgia,2395999.5
Andorra,2475773.8
Republic of Kosovo,2493288.8
Montenegro,2532039.5
Viet Nam,2535577.0
Bulgaria,2539117.5
Saint Lucia,2588937.5
El Salvador,2632025.8
Gambia,2759731.5
Barbados,2852802.0
Monaco,2913177.5
Saint Vincent and Grenadines,2932174.0
Philippines,2970352.8
Nicaragua,2974184.2
Bosnia and Herzegovina,2978018.0
Sudan,2978018.2
San Marino,2985693.5
Serbia,3016494.0
Cambodia,3090277.0
Grenada,3212574.0
Burkina Faso,3220546.0
Canada,3276624.5
Djibouti,3386141.5
Guinea-Bissau,3398421.5
Croatia,3447762.2
Romania,3803108.0
Trinidad and Tobago,3868397.0
Slovenia,3894668.5
Switzerland,4194065.0
Guinea,4198617.0
Mongolia,4212290.5
Costa Rica,4290187.5
Hungary,4350238.0
Liechtenstein,4354874.0
Moldova,4466892.5
Benin,4495118.0
Austria,4518710.0
Ethiopia,4570825.0
Nigeria,4604145.0
Kazakhstan,4758007.5
Togo,4826117.0
Panama,4865253.0
Sierra Leone,4904549.0
Ukraine,4934125.0
Slovakia,5078323.0
Ghana,5158770.5
Sri Lanka,5199232.0
South Sudan,5204300.0
Côte d'Ivoire,5367802.5
Cameroon,5455693.0
Marshall Islands,5580986.0
Czech Republic,5670597.5
Luxembourg,5670597.5
Central African Republic,5857336.5
Liberia,5954552.0
Venezuela (Bolivarian Republic),5959976.5
Belgium,6036177.0
Germany,6407548.0
Somalia,6668938.5
Guyana,6836412.5
Poland,6836412.5
Colombia,7005965.0
Brunei Darussalam,7023622.5
Malaysia,7219333.0
Suriname,7393539.0
Ireland,7729637.0
Maldives,7835031.5
Belarus,7916110.5
Equatorial Guinea,8828914.0
Lithuania,8855347.0
Uganda,9014779.0
Singapore,9028130.0
Sao Tome and Principe,9819348.0
Kenya,9966139.0
Latvia,1.0022347E7
Congo (Brazzaville),1.0114017E7
Indonesia,1.0513687E7
Gabon,1.0520893E7
Estonia,1.1269013E7
Ecuador,1.1276475E7
Rwanda,1.1358717E7
Sweden,1.2439369E7
Burundi,1.2455048E7
Norway,1.2707299E7
Congo (Kinshasa),1.2986089E7
Seychelles,1.3503702E7
Russian Federation,1.3552748E7
Finland,1.3881984E7
Papua New Guinea,1.4867688E7
Tanzania, United Republic of,1.4919146E7
Iceland,1.6513319E7
Timor-Leste,1.714234E7
Peru,1.7438052E7
Solomon Islands,1.786757E7
Angola,1.935332E7
Comoros,2.0023856E7
Zambia,2.128625E7
Malawi,2.1409468E7
Brazil,2.2439598E7
Denmark,2.3171884E7
Bolivia,2.4649652E7
Fiji,2.4970674E7
Mozambique,2.734565E7
Madagascar,2.7461994E7
Zimbabwe,2.7753922E7
Mauritius,2.9332932E7
Réunion,3.0267068E7
Botswana,3.176457E7
Namibia,3.2558572E7
Paraguay,3.317011E7
Swaziland,3.7229512E7
Australia,3.9291324E7
Lesotho,4.1537508E7
South Africa,4.290936E7
Uruguay,4.5810144E7
Chile,5.0686688E7
Argentina,5.5114692E7
New Zealand,5.9282376E7
